alx,aly,alz,glx,gly,glz,arx,ary,arz,grx,gry,grz,Activity,subject
2.1849,-9.6967,0.6307699999999999,0.1039,-0.8405299999999999,-0.68762,-8.6499,-4.5781,0.18775999999999998,-0.44902,-1.0103,0.034483,0,subject1
2.3876,-9.508,0.68389,0.08534299999999999,-0.83865,-0.6836899999999999,-8.6275,-4.3198,0.023594999999999998,-0.44902,-1.0103,0.034483,0,subject1
2.4086,-9.5674,0.68113,0.08534299999999999,-0.83865,-0.6836899999999999,-8.5055,-4.2772,0.27571999999999997,-0.44902,-1.0103,0.034483,0,subject1
2.1814,-9.4301,0.5503100000000001,0.08534299999999999,-0.83865,-0.6836899999999999,-8.6279,-4.3163,0.36751999999999996,-0.45686000000000004,-1.0082,0.025862,0,subject1
2.4173,-9.3889,0.7109800000000001,0.08534299999999999,-0.83865,-0.6836899999999999,-8.7008,-4.1459,0.40729,-0.45686000000000004,-1.0082,0.025862,0,subject1
2.2639,-9.4493,0.6126699999999999,0.09833,-0.8424,-0.6895899999999999,-8.7247,-4.0449,0.5060899999999999,-0.45686000000000004,-1.0082,0.025862,0,subject1
2.174,-9.6574,0.60137,0.09833,-0.8424,-0.6895899999999999,-9.0864,-4.1474,0.26138,-0.42745,-1.0164,0.019397,0,subject1
2.2023,-9.4397,0.58129,0.09833,-0.8424,-0.6895899999999999,-9.0143,-4.0052,0.47681999999999997,-0.42745,-1.0164,0.019397,0,subject1
2.2037,-9.6283,0.54062,0.076067,-0.83114,-0.69155,-9.0469,-4.0475,0.24554,-0.42745,-1.0164,0.019397,0,subject1
2.2135,-9.6887,0.43353,0.076067,-0.83114,-0.69155,-8.8318,-4.109,0.09663200000000001,-0.42745,-1.0164,0.019397,0,subject1
2.2837,-9.47,0.52851,0.076067,-0.83114,-0.69155,-8.8604,-4.2589999999999995,0.09955,-0.4549,-1.0144,0.015086000000000002,0,subject1
2.1748,-9.7765,0.56417,0.089054,-0.8292700000000001,-0.69155,-8.8741,-4.1581,0.18792999999999999,-0.4549,-1.0144,0.015086000000000002,0,subject1
2.1522,-9.6388,0.47708,0.089054,-0.8292700000000001,-0.69155,-8.7538,-4.2579,0.21419000000000002,-0.4549,-1.0144,0.015086000000000002,0,subject1
2.2028,-9.5492,0.52373,0.089054,-0.8292700000000001,-0.69155,-8.6427,-4.1087,0.1279,-0.46863,-1.0144,0.012931,0,subject1
2.1219,-9.5984,0.55171,0.089054,-0.8292700000000001,-0.69155,-8.6066,-4.237,0.29857,-0.46863,-1.0144,0.012931,0,subject1
2.1728,-9.5086,0.62963,0.08534299999999999,-0.83865,-0.69548,-8.7148,-4.0682,0.18200999999999998,-0.46863,-1.0144,0.012931,0,subject1
2.2652,-9.6381,0.5511699999999999,0.08534299999999999,-0.83865,-0.69548,-8.8451,-4.1478,0.21969,-0.46863,-1.0144,0.012931,0,subject1
2.1731,-9.7082,0.4634,0.08534299999999999,-0.83865,-0.69548,-8.6,-4.1063,0.3676,-0.46471,-1.0082,0.017241,0,subject1
2.0196,-9.7487,0.37651,0.08348799999999999,-0.84991,-0.68762,-8.695,-4.1877,0.22810999999999998,-0.46471,-1.0082,0.017241,0,subject1
2.1757,-9.8256,0.60339,0.08348799999999999,-0.84991,-0.68762,-8.7423,-4.0358,0.42321000000000003,-0.46471,-1.0082,0.017241,0,subject1
2.1845,-9.6771,0.6109100000000001,0.08348799999999999,-0.84991,-0.68762,-8.7739,-4.2279,0.20526999999999998,-0.44314,-1.0185,0.028017,0,subject1
2.2027,-9.5993,0.46915,0.08348799999999999,-0.84991,-0.68762,-8.8711,-4.0063,0.3726,-0.44314,-1.0185,0.028017,0,subject1
2.1616,-9.5996,0.43746999999999997,0.077922,-0.8292700000000001,-0.6836899999999999,-8.863999999999999,-4.1083,0.16958,-0.44314,-1.0185,0.028017,0,subject1
2.1949,-9.6568,0.65369,0.077922,-0.8292700000000001,-0.6836899999999999,-8.7708,-4.0363,0.3711,-0.44314,-1.0185,0.028017,0,subject1
1.9487,-9.6682,0.50483,0.077922,-0.8292700000000001,-0.6836899999999999,-8.9369,-4.0475,0.24554,-0.44314,-1.0185,0.028017,0,subject1
2.0909999999999997,-9.5088,0.60797,0.07235599999999999,-0.8330200000000001,-0.6817300000000001,-8.9598,-4.1163,0.3671,-0.44314,-1.0185,0.028017,0,subject1
2.0402,-9.6685,0.47448,0.07235599999999999,-0.8330200000000001,-0.6817300000000001,-8.8171,-4.0275,0.24654,-0.44314,-1.0185,0.028017,0,subject1
